# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z NetRecombination SRHRecombination 
-904.759 -0.159994 -1.27881 -1.17439 -1.17424 2.38348 249.038 9.15656e+17 1417 470.5 2.70502 0 0 1.52935e-13 0 0 186.712 0 0 131439 131439 
-895.747 -0.157557 -1.27637 -1.17196 -1.1718 2.38104 249.039 9.15656e+17 1417 470.5 2.70502 0 0 1.52955e-13 0 0 186.712 0 0 140134 140134 
-886.824 -0.155143 -1.27396 -1.16954 -1.16939 2.37863 249.043 9.15656e+17 1417 470.5 2.70502 0 0 1.52977e-13 0 0 186.712 0 0 177510 177510 
-877.989 -0.152753 -1.27157 -1.16715 -1.167 2.37624 249.05 9.15656e+17 1417 470.5 2.70502 0 0 1.53007e-13 0 0 186.712 0 0 247923 247923 
-869.243 -0.150387 -1.2692 -1.16479 -1.16463 2.37387 249.061 9.15656e+17 1417 470.5 2.70502 0 0 1.5305e-13 0 0 186.712 0 0 361764 361764 
-860.582 -0.148044 -1.26686 -1.16244 -1.16229 2.37153 249.078 9.15656e+17 1417 470.5 2.70502 0 0 1.53112e-13 0 0 186.712 0 0 536578 536578 
-852.008 -0.145725 -1.26454 -1.16012 -1.15997 2.36921 249.104 9.15656e+17 1417 470.5 2.70502 0 0 1.53204e-13 0 0 186.712 0 0 799338 799338 
-843.519 -0.143429 -1.26224 -1.15782 -1.15767 2.36691 249.143 9.15656e+17 1417 470.5 2.70502 0 0 1.53339e-13 0 0 186.712 0 0 1.19009e+06 1.19009e+06 
-835.114 -0.141155 -1.25997 -1.15554 -1.1554 2.36464 249.2 9.15656e+17 1417 470.5 2.70502 0 0 1.53539e-13 0 0 186.712 0 0 1.76736e+06 1.76736e+06 
-826.792 -0.138904 -1.25772 -1.15328 -1.15315 2.36239 249.284 9.15656e+17 1417 470.5 2.70502 0 0 1.53831e-13 0 0 186.712 0 0 2.61596e+06 2.61596e+06 
-818.553 -0.136675 -1.25549 -1.15104 -1.15092 2.36016 249.407 9.15656e+17 1417 470.5 2.70502 0 0 1.54258e-13 0 0 186.712 0 0 3.8581e+06 3.8581e+06 
-810.396 -0.134469 -1.25328 -1.14881 -1.14871 2.35795 249.587 9.15656e+17 1417 470.5 2.70502 0 0 1.54881e-13 0 0 186.712 0 0 5.66901e+06 5.66901e+06 
-802.319 -0.132284 -1.2511 -1.1466 -1.14653 2.35577 249.847 9.15656e+17 1417 470.5 2.70502 0 0 1.55784e-13 0 0 186.712 0 0 8.29899e+06 8.29899e+06 
-794.323 -0.130121 -1.24893 -1.1444 -1.14436 2.3536 250.224 9.15656e+17 1417 470.5 2.70502 0 0 1.57091e-13 0 0 186.712 0 0 1.21041e+07 1.21041e+07 
-786.406 -0.127979 -1.24679 -1.1422 -1.14222 2.35146 250.767 9.15656e+17 1417 470.5 2.70502 0 0 1.58975e-13 0 0 186.712 0 0 1.7589e+07 1.7589e+07 
-778.567 -0.125859 -1.24467 -1.14 -1.1401 2.34934 251.547 9.15656e+17 1417 470.5 2.70502 0 0 1.61678e-13 0 0 186.712 0 0 2.54662e+07 2.54662e+07 
-770.806 -0.12376 -1.24257 -1.13779 -1.138 2.34724 252.663 9.15656e+17 1417 470.5 2.70502 0 0 1.65546e-13 0 0 186.712 0 0 3.6738e+07 3.6738e+07 
-763.122 -0.121681 -1.24049 -1.13555 -1.13592 2.34516 254.254 9.15656e+17 1417 470.5 2.70502 0 0 1.71058e-13 0 0 186.712 0 0 5.28093e+07 5.28093e+07 
-755.514 -0.119623 -1.23844 -1.13326 -1.13387 2.34311 256.515 9.15656e+17 1417 470.5 2.70502 0 0 1.78886e-13 0 0 186.712 0 0 7.56419e+07 7.56419e+07 
-747.982 -0.117586 -1.2364 -1.1309 -1.13183 2.34107 259.715 9.15656e+17 1417 470.5 2.70502 0 0 1.89965e-13 0 0 186.712 0 0 1.07966e+08 1.07966e+08 
-740.524 -0.115569 -1.23438 -1.12844 -1.12981 2.33905 264.23 9.15656e+17 1417 470.5 2.70502 0 0 2.0559e-13 0 0 186.712 0 0 1.53567e+08 1.53567e+08 
-733.141 -0.113571 -1.23238 -1.12583 -1.12781 2.33705 270.577 9.15656e+17 1417 470.5 2.70502 0 0 2.27548e-13 0 0 186.712 0 0 2.17674e+08 2.17674e+08 
-725.83 -0.111594 -1.23041 -1.12301 -1.12584 2.33508 279.47 9.15656e+17 1417 470.5 2.70502 0 0 2.58303e-13 0 0 186.712 0 0 3.07488e+08 3.07488e+08 
-718.592 -0.109636 -1.22845 -1.11993 -1.12388 2.33312 291.885 9.15656e+17 1417 470.5 2.70502 0 0 3.01232e-13 0 0 186.712 0 0 4.32886e+08 4.32886e+08 
-711.426 -0.107697 -1.22651 -1.11651 -1.12194 2.33118 309.161 9.15656e+17 1417 470.5 2.70502 0 0 3.6095e-13 0 0 186.712 0 0 6.07368e+08 6.07368e+08 
-704.331 -0.105778 -1.22459 -1.11266 -1.12002 2.32926 333.116 9.15656e+17 1417 470.5 2.70502 0 0 4.43744e-13 0 0 186.712 0 0 8.49317e+08 8.49317e+08 
-697.307 -0.103878 -1.22269 -1.10831 -1.11812 2.32736 366.221 9.15656e+17 1417 470.5 2.70502 0 0 5.5815e-13 0 0 186.712 0 0 1.18368e+09 1.18368e+09 
-690.352 -0.101997 -1.22081 -1.10339 -1.11624 2.32548 411.816 9.15656e+17 1417 470.5 2.70502 0 0 7.15707e-13 0 0 186.712 0 0 1.64418e+09 1.64418e+09 
-683.465 -0.100134 -1.21895 -1.09787 -1.11438 2.32362 474.397 9.15656e+17 1417 470.5 2.70502 0 0 9.31971e-13 0 0 186.712 0 0 2.27626e+09 2.27626e+09 
-676.648 -0.0982897 -1.2171 -1.09174 -1.11253 2.32177 560.007 9.15656e+17 1417 470.5 2.70502 0 0 1.22784e-12 0 0 186.712 0 0 3.14092e+09 3.14092e+09 
-669.898 -0.0964638 -1.21528 -1.08502 -1.11071 2.31995 676.732 9.15656e+17 1417 470.5 2.70502 0 0 1.63128e-12 0 0 186.712 0 0 4.31984e+09 4.31984e+09 
-663.214 -0.094656 -1.21347 -1.07777 -1.1089 2.31814 835.366 9.15656e+17 1417 470.5 2.70502 0 0 2.17961e-12 0 0 186.712 0 0 5.92204e+09 5.92204e+09 
-656.597 -0.0928661 -1.21168 -1.07006 -1.10711 2.31635 1050.27 9.15656e+17 1417 470.5 2.70502 0 0 2.92249e-12 0 0 186.712 0 0 8.09261e+09 8.09261e+09 
-650.046 -0.0910939 -1.20991 -1.06198 -1.10534 2.31458 1340.52 9.15656e+17 1417 470.5 2.70502 0 0 3.92577e-12 0 0 186.712 0 0 1.10241e+10 1.10241e+10 
-643.56 -0.0893393 -1.20815 -1.05361 -1.10358 2.31282 1731.32 9.15656e+17 1417 470.5 2.70502 0 0 5.27653e-12 0 0 186.712 0 0 1.49711e+10 1.49711e+10 
-637.138 -0.0876022 -1.20641 -1.04503 -1.10184 2.31108 2255.92 9.15656e+17 1417 470.5 2.70502 0 0 7.08953e-12 0 0 186.712 0 0 2.02697e+10 2.02697e+10 
-630.779 -0.0858822 -1.20469 -1.03631 -1.10013 2.30936 2958.08 9.15656e+17 1417 470.5 2.70502 0 0 9.51566e-12 0 0 186.712 0 0 2.73615e+10 2.73615e+10 
-624.484 -0.0841793 -1.20299 -1.02749 -1.09842 2.30766 3895.13 9.15656e+17 1417 470.5 2.70502 0 0 1.27527e-11 0 0 186.712 0 0 3.68257e+10 3.68257e+10 
-618.251 -0.0824933 -1.20131 -1.01862 -1.09674 2.30598 5142 9.15656e+17 1417 470.5 2.70502 0 0 1.70589e-11 0 0 186.712 0 0 4.9419e+10 4.9419e+10 
-612.08 -0.0808241 -1.19964 -1.00974 -1.09507 2.30431 6796.36 9.15656e+17 1417 470.5 2.70502 0 0 2.2771e-11 0 0 186.712 0 0 6.61281e+10 6.61281e+10 
-605.97 -0.0791713 -1.19798 -1.00087 -1.09341 2.30265 8985.15 9.15656e+17 1417 470.5 2.70502 0 0 3.03264e-11 0 0 186.712 0 0 8.82348e+10 8.82348e+10 
-599.921 -0.077535 -1.19635 -0.992033 -1.09178 2.30102 11872.8 9.15656e+17 1417 470.5 2.70502 0 0 4.02914e-11 0 0 186.712 0 0 1.174e+11 1.174e+11 
-593.932 -0.0759149 -1.19473 -0.983236 -1.09016 2.2994 15671.7 9.15656e+17 1417 470.5 2.70502 0 0 5.33978e-11 0 0 186.712 0 0 1.55769e+11 1.55769e+11 
-588.002 -0.0743108 -1.19312 -0.974493 -1.08855 2.29779 20655.7 9.15656e+17 1417 470.5 2.70502 0 0 7.05883e-11 0 0 186.712 0 0 2.06108e+11 2.06108e+11 
-582.131 -0.0727227 -1.19154 -0.965813 -1.08697 2.29621 27176.5 9.15656e+17 1417 470.5 2.70502 0 0 9.30733e-11 0 0 186.712 0 0 2.71967e+11 2.71967e+11 
-576.318 -0.0711503 -1.18996 -0.957199 -1.08539 2.29463 35684.6 9.15656e+17 1417 470.5 2.70502 0 0 1.22404e-10 0 0 186.712 0 0 3.57899e+11 3.57899e+11 
-570.563 -0.0695935 -1.18841 -0.948656 -1.08384 2.29308 46755.8 9.15656e+17 1417 470.5 2.70502 0 0 1.6056e-10 0 0 186.712 0 0 4.69718e+11 4.69718e+11 
-564.865 -0.0680522 -1.18686 -0.940188 -1.0823 2.29153 61123.8 9.15656e+17 1417 470.5 2.70502 0 0 2.10067e-10 0 0 186.712 0 0 6.14835e+11 6.14835e+11 
-559.223 -0.0665261 -1.18534 -0.931795 -1.08077 2.29001 79720.7 9.15656e+17 1417 470.5 2.70502 0 0 2.7413e-10 0 0 186.712 0 0 8.02664e+11 8.02664e+11 
-553.637 -0.0650152 -1.18383 -0.923478 -1.07926 2.2885 103728 9.15656e+17 1417 470.5 2.70502 0 0 3.56812e-10 0 0 186.712 0 0 1.04514e+12 1.04514e+12 
-548.107 -0.0635192 -1.18233 -0.915239 -1.07776 2.287 134640 9.15656e+17 1417 470.5 2.70502 0 0 4.63247e-10 0 0 186.712 0 0 1.35735e+12 1.35735e+12 
-542.632 -0.0620381 -1.18085 -0.907078 -1.07628 2.28552 174340 9.15656e+17 1417 470.5 2.70502 0 0 5.9991e-10 0 0 186.712 0 0 1.75832e+12 1.75832e+12 
-537.211 -0.0605717 -1.17938 -0.898994 -1.07481 2.28405 225196 9.15656e+17 1417 470.5 2.70502 0 0 7.74938e-10 0 0 186.712 0 0 2.27197e+12 2.27197e+12 
-531.843 -0.0591198 -1.17793 -0.890988 -1.07336 2.2826 290178 9.15656e+17 1417 470.5 2.70502 0 0 9.98535e-10 0 0 186.712 0 0 2.92829e+12 2.92829e+12 
-526.529 -0.0576823 -1.17649 -0.88306 -1.07193 2.28116 373004 9.15656e+17 1417 470.5 2.70502 0 0 1.28347e-09 0 0 186.712 0 0 3.76482e+12 3.76482e+12 
-521.268 -0.0562591 -1.17507 -0.875208 -1.0705 2.27974 478310 9.15656e+17 1417 470.5 2.70502 0 0 1.64566e-09 0 0 186.712 0 0 4.82842e+12 4.82842e+12 
-516.058 -0.05485 -1.17366 -0.867432 -1.06909 2.27833 611873 9.15656e+17 1417 470.5 2.70502 0 0 2.10494e-09 0 0 186.712 0 0 6.1774e+12 6.1774e+12 
-510.901 -0.0534549 -1.17227 -0.859733 -1.0677 2.27694 780858 9.15656e+17 1417 470.5 2.70502 0 0 2.68592e-09 0 0 186.712 0 0 7.88415e+12 7.88415e+12 
-505.794 -0.0520735 -1.17089 -0.852108 -1.06632 2.27556 994152 9.15656e+17 1417 470.5 2.70502 0 0 3.41908e-09 0 0 186.712 0 0 1.00384e+13 1.00384e+13 
-500.739 -0.0507059 -1.16952 -0.844558 -1.06495 2.27419 1.26273e+06 9.15656e+17 1417 470.5 2.70502 0 0 4.34208e-09 0 0 186.712 0 0 1.2751e+13 1.2751e+13 
-495.733 -0.0493519 -1.16816 -0.837082 -1.06359 2.27283 1.60011e+06 9.15656e+17 1417 470.5 2.70502 0 0 5.50136e-09 0 0 186.712 0 0 1.61586e+13 1.61586e+13 
-490.777 -0.0480113 -1.16682 -0.82968 -1.06225 2.27149 2.02296e+06 9.15656e+17 1417 470.5 2.70502 0 0 6.95399e-09 0 0 186.712 0 0 2.04294e+13 2.04294e+13 
-485.87 -0.046684 -1.1655 -0.82235 -1.06093 2.27017 2.55167e+06 9.15656e+17 1417 470.5 2.70502 0 0 8.76999e-09 0 0 186.712 0 0 2.57694e+13 2.57694e+13 
-481.012 -0.0453698 -1.16418 -0.815092 -1.05961 2.26885 3.21125e+06 9.15656e+17 1417 470.5 2.70502 0 0 1.10351e-08 0 0 186.712 0 0 3.24311e+13 3.24311e+13 
-476.202 -0.0440687 -1.16288 -0.807906 -1.05831 2.26755 4.03222e+06 9.15656e+17 1417 470.5 2.70502 0 0 1.38539e-08 0 0 186.712 0 0 4.07229e+13 4.07229e+13 
-471.439 -0.0427804 -1.16159 -0.80079 -1.05702 2.26626 5.05177e+06 9.15656e+17 1417 470.5 2.70502 0 0 1.7354e-08 0 0 186.712 0 0 5.10204e+13 5.10204e+13 
-466.724 -0.041505 -1.16032 -0.793744 -1.05575 2.26499 6.31512e+06 9.15656e+17 1417 470.5 2.70502 0 0 2.16902e-08 0 0 186.712 0 0 6.37802e+13 6.37802e+13 
-462.056 -0.0402422 -1.15905 -0.786767 -1.05449 2.26372 7.87711e+06 9.15656e+17 1417 470.5 2.70502 0 0 2.70506e-08 0 0 186.712 0 0 7.95563e+13 7.95563e+13 
-457.434 -0.0389919 -1.1578 -0.77986 -1.05323 2.26247 9.80413e+06 9.15656e+17 1417 470.5 2.70502 0 0 3.36627e-08 0 0 186.712 0 0 9.90192e+13 9.90192e+13 
-452.858 -0.0377541 -1.15657 -0.77302 -1.052 2.26124 1.21764e+07 9.15656e+17 1417 470.5 2.70502 0 0 4.18011e-08 0 0 186.712 0 0 1.22979e+14 1.22979e+14 
-448.327 -0.0365285 -1.15534 -0.766247 -1.05077 2.26001 1.50904e+07 9.15656e+17 1417 470.5 2.70502 0 0 5.17965e-08 0 0 186.712 0 0 1.5241e+14 1.5241e+14 
-443.841 -0.035315 -1.15413 -0.759542 -1.04956 2.2588 1.86623e+07 9.15656e+17 1417 470.5 2.70502 0 0 6.40471e-08 0 0 186.712 0 0 1.88487e+14 1.88487e+14 
-439.399 -0.0341136 -1.15293 -0.752902 -1.04836 2.2576 2.30316e+07 9.15656e+17 1417 470.5 2.70502 0 0 7.90298e-08 0 0 186.712 0 0 2.32617e+14 2.32617e+14 
-435.002 -0.0329241 -1.15174 -0.746328 -1.04717 2.25641 2.8365e+07 9.15656e+17 1417 470.5 2.70502 0 0 9.7316e-08 0 0 186.712 0 0 2.86484e+14 2.86484e+14 
-430.648 -0.0317464 -1.15056 -0.739818 -1.04599 2.25523 3.4862e+07 9.15656e+17 1417 470.5 2.70502 0 0 1.19588e-07 0 0 186.712 0 0 3.52104e+14 3.52104e+14 
-426.338 -0.0305804 -1.14939 -0.733373 -1.04482 2.25406 4.27602e+07 9.15656e+17 1417 470.5 2.70502 0 0 1.4666e-07 0 0 186.712 0 0 4.31875e+14 4.31875e+14 
-422.07 -0.0294259 -1.14824 -0.726991 -1.04367 2.25291 5.23424e+07 9.15656e+17 1417 470.5 2.70502 0 0 1.795e-07 0 0 186.712 0 0 5.28656e+14 5.28656e+14 
-417.844 -0.0282829 -1.1471 -0.720673 -1.04253 2.25177 6.39445e+07 9.15656e+17 1417 470.5 2.70502 0 0 2.19257e-07 0 0 186.712 0 0 6.45836e+14 6.45836e+14 
-413.661 -0.0271512 -1.14596 -0.714416 -1.04139 2.25063 7.79643e+07 9.15656e+17 1417 470.5 2.70502 0 0 2.67292e-07 0 0 186.712 0 0 7.87437e+14 7.87437e+14 
-409.519 -0.0260308 -1.14484 -0.708221 -1.04027 2.24951 9.48726e+07 9.15656e+17 1417 470.5 2.70502 0 0 3.25216e-07 0 0 186.712 0 0 9.58211e+14 9.58211e+14 
-405.418 -0.0249215 -1.14373 -0.702088 -1.03916 2.2484 1.15225e+08 9.15656e+17 1417 470.5 2.70502 0 0 3.94929e-07 0 0 186.712 0 0 1.16377e+15 1.16377e+15 
-401.357 -0.0238231 -1.14264 -0.696015 -1.03807 2.24731 1.39675e+08 9.15656e+17 1417 470.5 2.70502 0 0 4.7867e-07 0 0 186.712 0 0 1.41072e+15 1.41072e+15 
-397.337 -0.0227357 -1.14155 -0.690001 -1.03698 2.24622 1.68993e+08 9.15656e+17 1417 470.5 2.70502 0 0 5.79069e-07 0 0 186.712 0 0 1.70683e+15 1.70683e+15 
-393.357 -0.021659 -1.14047 -0.684047 -1.0359 2.24514 2.04082e+08 9.15656e+17 1417 470.5 2.70502 0 0 6.99214e-07 0 0 186.712 0 0 2.06122e+15 2.06122e+15 
-389.416 -0.020593 -1.13941 -0.678152 -1.03484 2.24408 2.45998e+08 9.15656e+17 1417 470.5 2.70502 0 0 8.42721e-07 0 0 186.712 0 0 2.48457e+15 2.48457e+15 
-385.515 -0.0195376 -1.13835 -0.672315 -1.03378 2.24302 2.95977e+08 9.15656e+17 1417 470.5 2.70502 0 0 1.01381e-06 0 0 186.712 0 0 2.98936e+15 2.98936e+15 
-381.652 -0.0184927 -1.13731 -0.666536 -1.03274 2.24198 3.55461e+08 9.15656e+17 1417 470.5 2.70502 0 0 1.21742e-06 0 0 186.712 0 0 3.59016e+15 3.59016e+15 
-377.827 -0.0174581 -1.13627 -0.660813 -1.0317 2.24094 4.26131e+08 9.15656e+17 1417 470.5 2.70502 0 0 1.45929e-06 0 0 186.712 0 0 4.30392e+15 4.30392e+15 
-374.04 -0.0164338 -1.13525 -0.655148 -1.03068 2.23992 5.09938e+08 9.15656e+17 1417 470.5 2.70502 0 0 1.74609e-06 0 0 186.712 0 0 5.15037e+15 5.15037e+15 
-370.291 -0.0154196 -1.13423 -0.649538 -1.02966 2.2389 6.09147e+08 9.15656e+17 1417 470.5 2.70502 0 0 2.08556e-06 0 0 186.712 0 0 6.15238e+15 6.15238e+15 
-366.579 -0.0144155 -1.13323 -0.643983 -1.02866 2.2379 7.26383e+08 9.15656e+17 1417 470.5 2.70502 0 0 2.48667e-06 0 0 186.712 0 0 7.33646e+15 7.33646e+15 
-362.904 -0.0134213 -1.13223 -0.638484 -1.02766 2.2369 8.64679e+08 9.15656e+17 1417 470.5 2.70502 0 0 2.95979e-06 0 0 186.712 0 0 8.73325e+15 8.73325e+15 
-359.265 -0.012437 -1.13125 -0.633038 -1.02668 2.23592 1.02754e+09 9.15656e+17 1417 470.5 2.70502 0 0 3.51688e-06 0 0 186.712 0 0 1.03781e+16 1.03781e+16 
-355.662 -0.0114625 -1.13027 -0.627647 -1.02571 2.23494 1.21899e+09 9.15656e+17 1417 470.5 2.70502 0 0 4.17172e-06 0 0 186.712 0 0 1.23118e+16 1.23118e+16 
-352.095 -0.0104976 -1.12931 -0.622308 -1.02474 2.23398 1.44368e+09 9.15656e+17 1417 470.5 2.70502 0 0 4.94017e-06 0 0 186.712 0 0 1.45812e+16 1.45812e+16 
-348.564 -0.00954235 -1.12835 -0.617023 -1.02379 2.23302 1.70694e+09 9.15656e+17 1417 470.5 2.70502 0 0 5.84042e-06 0 0 186.712 0 0 1.724e+16 1.724e+16 
-345.067 -0.00859653 -1.12741 -0.611789 -1.02284 2.23208 2.01486e+09 9.15656e+17 1417 470.5 2.70502 0 0 6.89334e-06 0 0 186.712 0 0 2.03501e+16 2.03501e+16 
-341.605 -0.00766008 -1.12647 -0.606608 -1.0219 2.23114 2.37444e+09 9.15656e+17 1417 470.5 2.70502 0 0 8.12278e-06 0 0 186.712 0 0 2.39819e+16 2.39819e+16 
-338.178 -0.00673293 -1.12555 -0.601477 -1.02098 2.23022 2.79366e+09 9.15656e+17 1417 470.5 2.70502 0 0 9.55601e-06 0 0 186.712 0 0 2.8216e+16 2.8216e+16 
-334.784 -0.00581497 -1.12463 -0.596397 -1.02006 2.2293 3.28163e+09 9.15656e+17 1417 470.5 2.70502 0 0 1.12241e-05 0 0 186.712 0 0 3.31445e+16 3.31445e+16 
-331.424 -0.00490611 -1.12372 -0.591368 -1.01915 2.22839 3.84871e+09 9.15656e+17 1417 470.5 2.70502 0 0 1.31625e-05 0 0 186.712 0 0 3.88719e+16 3.88719e+16 
-328.098 -0.00400626 -1.12282 -0.586388 -1.01825 2.22749 4.50668e+09 9.15656e+17 1417 470.5 2.70502 0 0 1.54114e-05 0 0 186.712 0 0 4.55174e+16 4.55174e+16 
-324.804 -0.00311534 -1.12193 -0.581457 -1.01736 2.2266 5.26891e+09 9.15656e+17 1417 470.5 2.70502 0 0 1.80164e-05 0 0 186.712 0 0 5.3216e+16 5.3216e+16 
-321.543 -0.00223325 -1.12105 -0.576575 -1.01648 2.22572 6.15058e+09 9.15656e+17 1417 470.5 2.70502 0 0 2.10293e-05 0 0 186.712 0 0 6.21208e+16 6.21208e+16 
-318.315 -0.00135992 -1.12017 -0.571742 -1.0156 2.22484 7.1688e+09 9.15656e+17 1417 470.5 2.70502 0 0 2.45087e-05 0 0 186.712 0 0 7.24048e+16 7.24048e+16 
-315.118 -0.00049524 -1.11931 -0.566956 -1.01474 2.22398 8.34295e+09 9.15656e+17 1417 470.5 2.70502 0 0 2.85205e-05 0 0 186.712 0 0 8.42638e+16 8.42638e+16 
-311.953 0.000360862 -1.11845 -0.562217 -1.01388 2.22312 9.69488e+09 9.15656e+17 1417 470.5 2.70502 0 0 3.31395e-05 0 0 186.712 0 0 9.79183e+16 9.79183e+16 
-308.82 0.00120848 -1.1176 -0.557525 -1.01303 2.22227 1.12492e+10 9.15656e+17 1417 470.5 2.70502 0 0 3.84494e-05 0 0 186.712 0 0 1.13617e+17 1.13617e+17 
-305.717 0.00204768 -1.11676 -0.55288 -1.0122 2.22143 1.30335e+10 9.15656e+17 1417 470.5 2.70502 0 0 4.45447e-05 0 0 186.712 0 0 1.31638e+17 1.31638e+17 
-302.646 0.00287856 -1.11593 -0.548281 -1.01136 2.2206 1.50789e+10 9.15656e+17 1417 470.5 2.70502 0 0 5.15314e-05 0 0 186.712 0 0 1.52297e+17 1.52297e+17 
-299.605 0.00370121 -1.11511 -0.543727 -1.01054 2.21978 1.74202e+10 9.15656e+17 1417 470.5 2.70502 0 0 5.95282e-05 0 0 186.712 0 0 1.75944e+17 1.75944e+17 
-296.594 0.0045157 -1.1143 -0.539218 -1.00973 2.21897 2.00963e+10 9.15656e+17 1417 470.5 2.70502 0 0 6.8668e-05 0 0 186.712 0 0 2.02973e+17 2.02973e+17 
-293.612 0.0053221 -1.11349 -0.534753 -1.00892 2.21816 2.31508e+10 9.15656e+17 1417 470.5 2.70502 0 0 7.90994e-05 0 0 186.712 0 0 2.33823e+17 2.33823e+17 
-290.661 0.00612051 -1.11269 -0.530333 -1.00812 2.21736 2.66323e+10 9.15656e+17 1417 470.5 2.70502 0 0 9.09882e-05 0 0 186.712 0 0 2.68986e+17 2.68986e+17 
-287.739 0.00691101 -1.1119 -0.525957 -1.00733 2.21657 3.0595e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000104519 0 0 186.712 0 0 3.09009e+17 3.09009e+17 
-284.845 0.00769366 -1.11112 -0.521624 -1.00655 2.21579 3.50991e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000119898 0 0 186.712 0 0 3.54501e+17 3.54501e+17 
-281.98 0.00846856 -1.11034 -0.517333 -1.00577 2.21501 4.02117e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000137354 0 0 186.712 0 0 4.06138e+17 4.06138e+17 
-279.144 0.00923576 -1.10958 -0.513086 -1.00501 2.21425 4.6007e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000157139 0 0 186.712 0 0 4.64671e+17 4.64671e+17 
-276.336 0.00999536 -1.10882 -0.50888 -1.00425 2.21349 5.25677e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000179536 0 0 186.712 0 0 5.30933e+17 5.30933e+17 
-273.556 0.0107474 -1.10806 -0.504715 -1.0035 2.21273 5.99846e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000204854 0 0 186.712 0 0 6.05845e+17 6.05845e+17 
-270.803 0.011492 -1.10732 -0.500592 -1.00275 2.21199 6.83589e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000233439 0 0 186.712 0 0 6.90425e+17 6.90425e+17 
-268.078 0.0122293 -1.10658 -0.49651 -1.00201 2.21125 7.78017e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000265669 0 0 186.712 0 0 7.85797e+17 7.85797e+17 
-265.379 0.0129592 -1.10585 -0.492468 -1.00128 2.21052 8.84356e+10 9.15656e+17 1417 470.5 2.70502 0 0 0.000301963 0 0 186.712 0 0 8.93199e+17 8.93199e+17 
-262.708 0.0136818 -1.10513 -0.488466 -1.00056 2.2098 1.00396e+11 9.15656e+17 1417 470.5 2.70502 0 0 0.000342781 0 0 186.712 0 0 1.014e+18 1.014e+18 
-260.063 0.0143973 -1.10442 -0.484504 -0.999845 2.20909 1.1383e+11 9.15656e+17 1417 470.5 2.70502 0 0 0.000388628 0 0 186.712 0 0 1.14968e+18 1.14968e+18 
-257.444 0.0151058 -1.10371 -0.480581 -0.999137 2.20838 1.28902e+11 9.15656e+17 1417 470.5 2.70502 0 0 0.000440061 0 0 186.712 0 0 1.30191e+18 1.30191e+18 
