# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z eNetRecombination hNetRecombination 
-11.0081 3.94314 -0.16361 0 0 -0.791283 1.63078e-48 4.6875e+16 1140 144.2 -576.255 0 0 0 0 0 0 0 0 0 0 
-10.6447 3.94312 -0.163632 0 0 -0.791261 1.63212e-48 4.68365e+16 1140 144.2 -594.59 0 0 0 0 0 0 0 0 0 0 
-10.2975 3.9431 -0.163653 0 0 -0.79124 1.63345e-48 4.67985e+16 1140 144.2 -612.368 0 0 0 0 0 0 0 0 0 0 
-9.9655 3.94308 -0.163673 0 0 -0.79122 1.63475e-48 4.67613e+16 1140 144.2 -629.598 0 0 0 0 0 0 0 0 0 0 
-9.6482 3.94306 -0.163693 0 0 -0.7912 1.63603e-48 4.67247e+16 1140 144.2 -646.291 0 0 0 0 0 0 0 0 0 0 
-9.34491 3.94304 -0.163713 0 0 -0.79118 1.63729e-48 4.66889e+16 1140 144.2 -662.456 0 0 0 0 0 0 0 0 0 0 
-9.05501 3.94302 -0.163733 0 0 -0.79116 1.63852e-48 4.66538e+16 1140 144.2 -678.102 0 0 0 0 0 0 0 0 0 0 
-8.7779 3.943 -0.163752 0 0 -0.791141 1.63972e-48 4.66196e+16 1140 144.2 -693.241 0 0 0 0 0 0 0 0 0 0 
-8.51303 3.94298 -0.16377 0 0 -0.791123 1.6409e-48 4.65861e+16 1140 144.2 -707.881 0 0 0 0 0 0 0 0 0 0 
-8.25984 3.94297 -0.163788 0 0 -0.791105 1.64205e-48 4.65535e+16 1140 144.2 -722.035 0 0 0 0 0 0 0 0 0 0 
-8.01784 3.94295 -0.163806 0 0 -0.791087 1.64317e-48 4.65218e+16 1140 144.2 -735.711 0 0 0 0 0 0 0 0 0 0 
-7.78652 3.94293 -0.163823 0 0 -0.79107 1.64426e-48 4.64909e+16 1140 144.2 -748.922 0 0 0 0 0 0 0 0 0 0 
-7.56541 3.94291 -0.16384 0 0 -0.791053 1.64532e-48 4.64609e+16 1140 144.2 -761.677 0 0 0 0 0 0 0 0 0 0 
-7.35406 3.9429 -0.163856 0 0 -0.791037 1.64636e-48 4.64318e+16 1140 144.2 -773.988 0 0 0 0 0 0 0 0 0 0 
-7.15204 3.94288 -0.163872 0 0 -0.791021 1.64736e-48 4.64035e+16 1140 144.2 -785.866 0 0 0 0 0 0 0 0 0 0 
-6.95894 3.94287 -0.163887 0 0 -0.791006 1.64834e-48 4.63761e+16 1140 144.2 -797.322 0 0 0 0 0 0 0 0 0 0 
-6.77437 3.94285 -0.163902 0 0 -0.790991 1.64928e-48 4.63496e+16 1140 144.2 -808.366 0 0 0 0 0 0 0 0 0 0 
-6.59794 3.94284 -0.163916 0 0 -0.790977 1.6502e-48 4.63238e+16 1140 144.2 -819.011 0 0 0 0 0 0 0 0 0 0 
-6.4293 3.94282 -0.16393 0 0 -0.790963 1.65108e-48 4.6299e+16 1140 144.2 -829.268 0 0 0 0 0 0 0 0 0 0 
-6.2681 3.94281 -0.163944 0 0 -0.790949 1.65194e-48 4.62749e+16 1140 144.2 -839.146 0 0 0 0 0 0 0 0 0 0 
-6.11402 3.9428 -0.163957 0 0 -0.790936 1.65277e-48 4.62516e+16 1140 144.2 -848.658 0 0 0 0 0 0 0 0 0 0 
-5.96675 3.94279 -0.163969 0 0 -0.790924 1.65358e-48 4.62292e+16 1140 144.2 -857.813 0 0 0 0 0 0 0 0 0 0 
-5.82597 3.94277 -0.163981 0 0 -0.790912 1.65435e-48 4.62075e+16 1140 144.2 -866.624 0 0 0 0 0 0 0 0 0 0 
-5.69141 3.94276 -0.163993 0 0 -0.7909 1.6551e-48 4.61866e+16 1140 144.2 -875.1 0 0 0 0 0 0 0 0 0 0 
-5.56279 3.94275 -0.164004 0 0 -0.790889 1.65583e-48 4.61664e+16 1140 144.2 -883.253 0 0 0 0 0 0 0 0 0 0 
-5.43984 3.94274 -0.164015 0 0 -0.790878 1.65653e-48 4.61469e+16 1140 144.2 -891.092 0 0 0 0 0 0 0 0 0 0 
-5.32233 3.94273 -0.164026 0 0 -0.790867 1.6572e-48 4.61282e+16 1140 144.2 -898.627 0 0 0 0 0 0 0 0 0 0 
-5.21 3.94272 -0.164036 0 0 -0.790857 1.65785e-48 4.61101e+16 1140 144.2 -905.869 0 0 0 0 0 0 0 0 0 0 
-5.10263 3.94271 -0.164046 0 0 -0.790847 1.65848e-48 4.60927e+16 1140 144.2 -912.828 0 0 0 0 0 0 0 0 0 0 
-5 3.9427 -0.164055 0 0 -0.790838 1.65908e-48 4.60759e+16 1140 144.2 -916.162 0 0 0 0 0 0 0 0 0 0 
-5 3.58494 0.0650086 0 0 -0.790838 1.37288e-42 5.53732e+19 1500 200 -2.26429e+06 0 0 0 0 0 0 0 0 0 0 
-4.89899 3.56207 0.042137 0 0 -0.767966 3.3255e-42 3.52373e+19 1500 200 -2.23215e+06 0 0 0 0 0 0 0 0 0 0 
-4.79798 3.53984 0.0199146 0 0 -0.745744 7.85553e-42 2.06079e+19 1500 200 -2.18127e+06 0 0 0 0 0 0 0 0 0 0 
-4.69697 3.518 -0.00192911 0 0 -0.7239 1.82866e-41 1.0995e+19 1500 200 -2.15265e+06 0 0 0 0 0 0 0 0 0 0 
-4.59596 3.49636 -0.0235732 0 0 -0.702256 4.22414e-41 5.40785e+18 1500 200 -2.13812e+06 0 0 0 0 0 0 0 0 0 0 
-4.49495 3.47481 -0.0451235 0 0 -0.680706 9.72224e-41 2.5116e+18 1500 200 -2.13166e+06 0 0 0 0 0 0 0 0 0 0 
-4.39394 3.45329 -0.066637 0 0 -0.659192 2.23449e-40 1.12829e+18 1500 200 -2.12946e+06 0 0 0 0 0 0 0 0 0 0 
-4.29293 3.43179 -0.088143 0 0 -0.637686 5.13406e-40 4.9828e+17 1500 200 -2.12941e+06 0 0 0 0 0 0 0 0 0 0 
-4.19192 3.41027 -0.109655 0 0 -0.616174 1.17992e-39 2.18222e+17 1500 200 -2.13038e+06 0 0 0 0 0 0 0 0 0 0 
-4.09091 3.38875 -0.131181 0 0 -0.594648 2.71311e-39 9.51753e+16 1500 200 -2.13183e+06 0 0 0 0 0 0 0 0 0 0 
-3.9899 3.36721 -0.152723 0 0 -0.573107 6.24239e-39 4.14173e+16 1500 200 -2.13349e+06 0 0 0 0 0 0 0 0 0 0 
-3.88889 3.34565 -0.174282 0 0 -0.551548 1.43723e-38 1.79987e+16 1500 200 -2.13524e+06 0 0 0 0 0 0 0 0 0 0 
-3.78788 3.32407 -0.195859 0 0 -0.52997 3.31136e-38 7.81385e+15 1500 200 -2.13704e+06 0 0 0 0 0 0 0 0 0 0 
-3.68687 3.30247 -0.217454 0 0 -0.508375 7.63469e-38 3.38941e+15 1500 200 -2.13885e+06 0 0 0 0 0 0 0 0 0 0 
-3.58586 3.28086 -0.239068 0 0 -0.486761 1.76151e-37 1.46909e+15 1500 200 -2.14067e+06 0 0 0 0 0 0 0 0 0 0 
-3.48485 3.25923 -0.2607 0 0 -0.465129 4.06713e-37 6.3629e+14 1500 200 -2.14249e+06 0 0 0 0 0 0 0 0 0 0 
-3.38384 3.23758 -0.282351 0 0 -0.443479 9.39726e-37 2.75389e+14 1500 200 -2.14432e+06 0 0 0 0 0 0 0 0 0 0 
-3.28283 3.21591 -0.30402 0 0 -0.42181 2.17282e-36 1.19104e+14 1500 200 -2.14614e+06 0 0 0 0 0 0 0 0 0 0 
-3.18182 3.19422 -0.325707 0 0 -0.400122 5.02754e-36 5.14747e+13 1500 200 -2.14797e+06 0 0 0 0 0 0 0 0 0 0 
-3.08081 3.17252 -0.347413 0 0 -0.378416 1.16412e-35 2.22307e+13 1500 200 -2.14979e+06 0 0 0 0 0 0 0 0 0 0 
-2.9798 3.15079 -0.369137 0 0 -0.356692 2.69743e-35 9.59402e+12 1500 200 -2.15162e+06 0 0 0 0 0 0 0 0 0 0 
-2.87879 3.12905 -0.39088 0 0 -0.334949 6.25477e-35 4.13751e+12 1500 200 -2.15344e+06 0 0 0 0 0 0 0 0 0 0 
-2.77778 3.10729 -0.412641 0 0 -0.313188 1.45139e-34 1.78307e+12 1500 200 -2.15527e+06 0 0 0 0 0 0 0 0 0 0 
-2.67677 3.08551 -0.434421 0 0 -0.291409 3.37026e-34 7.67867e+11 1500 200 -2.1571e+06 0 0 0 0 0 0 0 0 0 0 
-2.57576 3.06371 -0.456219 0 0 -0.269611 7.83168e-34 3.30442e+11 1500 200 -2.15892e+06 0 0 0 0 0 0 0 0 0 0 
-2.47475 3.04189 -0.478035 0 0 -0.247794 1.82119e-33 1.421e+11 1500 200 -2.16075e+06 0 0 0 0 0 0 0 0 0 0 
-2.37374 3.02006 -0.49987 0 0 -0.225959 4.23806e-33 6.10637e+10 1500 200 -2.16257e+06 0 0 0 0 0 0 0 0 0 0 
-2.27273 2.9982 -0.521724 0 0 -0.204106 9.86933e-33 2.62218e+10 1500 200 -2.1644e+06 0 0 0 0 0 0 0 0 0 0 
-2.17172 2.97633 -0.543596 0 0 -0.182234 2.29995e-32 1.1252e+10 1500 200 -2.16623e+06 0 0 0 0 0 0 0 0 0 0 
-2.07071 2.95444 -0.565486 0 0 -0.160343 5.36363e-32 4.82493e+09 1500 200 -2.16805e+06 0 0 0 0 0 0 0 0 0 0 
-1.9697 2.93253 -0.587395 0 0 -0.138435 1.25173e-31 2.06748e+09 1500 200 -2.16988e+06 0 0 0 0 0 0 0 0 0 0 
-1.86869 2.91061 -0.609322 0 0 -0.116508 2.92327e-31 8.8528e+08 1500 200 -2.1717e+06 0 0 0 0 0 0 0 0 0 0 
-1.76768 2.88866 -0.631267 0 0 -0.0945619 6.83187e-31 3.78801e+08 1500 200 -2.17353e+06 0 0 0 0 0 0 0 0 0 0 
-1.66667 2.8667 -0.653231 0 0 -0.0725978 1.59779e-30 1.61969e+08 1500 200 -2.17536e+06 0 0 0 0 0 0 0 0 0 0 
-1.56566 2.84471 -0.675214 0 0 -0.0506153 3.73946e-30 6.92056e+07 1500 200 -2.17718e+06 0 0 0 0 0 0 0 0 0 0 
-1.46465 2.82271 -0.697215 0 0 -0.0286143 8.75807e-30 2.95489e+07 1500 200 -2.17901e+06 0 0 0 0 0 0 0 0 0 0 
-1.36364 2.80069 -0.719234 0 0 -0.00659493 2.05266e-29 1.26076e+07 1500 200 -2.18083e+06 0 0 0 0 0 0 0 0 0 0 
-1.26263 2.77866 -0.741272 0 0 0.0154429 4.81434e-29 5.37543e+06 1500 200 -2.18266e+06 0 0 0 0 0 0 0 0 0 0 
-1.16162 2.7566 -0.763328 0 0 0.0374992 1.12997e-28 2.29026e+06 1500 200 -2.18449e+06 0 0 0 0 0 0 0 0 0 0 
-1.06061 2.73453 -0.785403 0 0 0.059574 2.65402e-28 975091 1500 200 -2.18631e+06 0 0 0 0 0 0 0 0 0 0 
-0.959596 2.71243 -0.807496 0 0 0.0816671 6.23812e-28 414855 1500 200 -2.18814e+06 0 0 0 0 0 0 0 0 0 0 
-0.858586 2.69032 -0.829608 0 0 0.103779 1.46728e-27 176375 1500 200 -2.18996e+06 0 0 0 0 0 0 0 0 0 0 
-0.757576 2.66819 -0.851738 0 0 0.125909 3.45367e-27 74932.4 1500 200 -2.19179e+06 0 0 0 0 0 0 0 0 0 0 
-0.656566 2.64604 -0.873887 0 0 0.148057 8.13502e-27 31812 1500 200 -2.19362e+06 0 0 0 0 0 0 0 0 0 0 
-0.555556 2.62388 -0.896054 0 0 0.170224 1.91755e-26 13495.9 1500 200 -2.19544e+06 0 0 0 0 0 0 0 0 0 0 
-0.454545 2.60169 -0.918239 0 0 0.19241 4.52319e-26 5721.44 1500 200 -2.19727e+06 0 0 0 0 0 0 0 0 0 0 
-0.353535 2.57949 -0.940443 0 0 0.214614 1.06771e-25 2423.8 1500 200 -2.19909e+06 0 0 0 0 0 0 0 0 0 0 
-0.252525 2.55726 -0.962665 0 0 0.236836 2.52215e-25 1026.08 1500 200 -2.20092e+06 0 0 0 0 0 0 0 0 0 0 
-0.151515 2.53502 -0.984906 0 0 0.259077 5.96208e-25 434.062 1500 200 -2.20275e+06 0 0 0 0 0 0 0 0 0 0 
-0.0505051 2.51276 -1.00717 0 0 0.281336 1.41038e-24 183.491 1500 200 -2.20457e+06 0 0 0 0 0 0 0 0 0 0 
0.0505051 2.49049 -1.02944 0 0 0.303613 3.33874e-24 77.5118 1500 200 -2.2064e+06 0 0 0 0 0 0 0 0 0 0 
0.151515 2.46819 -1.05174 0 0 0.325909 7.90933e-24 32.7198 1500 200 -2.20822e+06 0 0 0 0 0 0 0 0 0 0 
0.252525 2.44588 -1.07405 0 0 0.348224 1.87502e-23 13.802 1500 200 -2.21005e+06 0 0 0 0 0 0 0 0 0 0 
0.353535 2.42354 -1.09639 0 0 0.370557 4.44819e-23 5.81791 1500 200 -2.21188e+06 0 0 0 0 0 0 0 0 0 0 
0.454545 2.40119 -1.11874 0 0 0.392908 1.05601e-22 2.45064 1500 200 -2.2137e+06 0 0 0 0 0 0 0 0 0 0 
0.555556 2.37882 -1.14111 0 0 0.415278 2.5088e-22 1.03153 1500 200 -2.21553e+06 0 0 0 0 0 0 0 0 0 0 
0.656566 2.35643 -1.1635 0 0 0.437666 5.96448e-22 0.433888 1500 200 -2.21735e+06 0 0 0 0 0 0 0 0 0 0 
0.757576 2.33403 -1.1859 0 0 0.460073 1.41902e-21 0.182373 1500 200 -2.21918e+06 0 0 0 0 0 0 0 0 0 0 
0.858586 2.3116 -1.20833 0 0 0.482498 3.37843e-21 0.0766012 1500 200 -2.22101e+06 0 0 0 0 0 0 0 0 0 0 
0.959596 2.28916 -1.23077 0 0 0.504942 8.04916e-21 0.0321514 1500 200 -2.22283e+06 0 0 0 0 0 0 0 0 0 0 
1.06061 2.2667 -1.25323 0 0 0.527404 1.91909e-20 0.0134851 1500 200 -2.22466e+06 0 0 0 0 0 0 0 0 0 0 
1.16162 2.24421 -1.27571 0 0 0.549885 4.5788e-20 0.00565195 1500 200 -2.22648e+06 0 0 0 0 0 0 0 0 0 0 
1.26263 2.22172 -1.29821 0 0 0.572384 1.09324e-19 0.00236719 1500 200 -2.22831e+06 0 0 0 0 0 0 0 0 0 0 
1.36364 2.1992 -1.32073 0 0 0.594901 2.61212e-19 0.000990736 1500 200 -2.23014e+06 0 0 0 0 0 0 0 0 0 0 
1.46465 2.17666 -1.34327 0 0 0.617437 6.24565e-19 0.000414355 1500 200 -2.23196e+06 0 0 0 0 0 0 0 0 0 0 
1.56566 2.15411 -1.36582 0 0 0.639991 1.49442e-18 0.000173172 1500 200 -2.23379e+06 0 0 0 0 0 0 0 0 0 0 
1.66667 2.13154 -1.38839 0 0 0.662564 3.5783e-18 7.23224e-05 1500 200 -2.23561e+06 0 0 0 0 0 0 0 0 0 0 
1.76768 2.10894 -1.41098 0 0 0.685155 8.57416e-18 3.01827e-05 1500 200 -2.23744e+06 0 0 0 0 0 0 0 0 0 0 
1.86869 2.08633 -1.43359 0 0 0.707765 2.05597e-17 1.25873e-05 1500 200 -2.23927e+06 0 0 0 0 0 0 0 0 0 0 
1.9697 2.06371 -1.45622 0 0 0.730393 4.93345e-17 5.24565e-06 1500 200 -2.24109e+06 0 0 0 0 0 0 0 0 0 0 
2.07071 2.04106 -1.47887 0 0 0.753039 1.18466e-16 2.18452e-06 1500 200 -2.24292e+06 0 0 0 0 0 0 0 0 0 0 
2.17172 2.0184 -1.50153 0 0 0.775704 2.84675e-16 9.09079e-07 1500 200 -2.24474e+06 0 0 0 0 0 0 0 0 0 0 
2.27273 1.99571 -1.52422 0 0 0.798388 6.84561e-16 3.7804e-07 1500 200 -2.24657e+06 0 0 0 0 0 0 0 0 0 0 
2.37374 1.97301 -1.54692 0 0 0.821089 1.64735e-15 1.57096e-07 1500 200 -2.2484e+06 0 0 0 0 0 0 0 0 0 0 
2.47475 1.95029 -1.56964 0 0 0.84381 3.96707e-15 6.5235e-08 1500 200 -2.25022e+06 0 0 0 0 0 0 0 0 0 0 
2.57576 1.92755 -1.59238 0 0 0.866548 9.56011e-15 2.70699e-08 1500 200 -2.25205e+06 0 0 0 0 0 0 0 0 0 0 
2.67677 1.90479 -1.61513 0 0 0.889306 2.30551e-14 1.12249e-08 1500 200 -2.25387e+06 0 0 0 0 0 0 0 0 0 0 
2.77778 1.88202 -1.63791 0 0 0.912081 5.5639e-14 4.65126e-09 1500 200 -2.2557e+06 0 0 0 0 0 0 0 0 0 0 
2.87879 1.85922 -1.6607 0 0 0.934875 1.3437e-13 1.92596e-09 1500 200 -2.25752e+06 0 0 0 0 0 0 0 0 0 0 
2.9798 1.83641 -1.68352 0 0 0.957688 3.24739e-13 7.96921e-10 1500 200 -2.25935e+06 0 0 0 0 0 0 0 0 0 0 
3.08081 1.81358 -1.70635 0 0 0.980519 7.85376e-13 3.29513e-10 1500 200 -2.26118e+06 0 0 0 0 0 0 0 0 0 0 
3.18182 1.79073 -1.7292 0 0 1.00337 1.90077e-12 1.36151e-10 1500 200 -2.263e+06 0 0 0 0 0 0 0 0 0 0 
3.28283 1.76786 -1.75207 0 0 1.02624 4.60354e-12 5.62157e-11 1500 200 -2.26483e+06 0 0 0 0 0 0 0 0 0 0 
3.38384 1.74498 -1.77495 0 0 1.04912 1.11574e-11 2.31945e-11 1500 200 -2.26665e+06 0 0 0 0 0 0 0 0 0 0 
3.48485 1.72207 -1.79786 0 0 1.07203 2.70612e-11 9.56321e-12 1500 200 -2.26848e+06 0 0 0 0 0 0 0 0 0 0 
3.58586 1.69915 -1.82078 0 0 1.09495 6.56808e-11 3.94014e-12 1500 200 -2.27031e+06 0 0 0 0 0 0 0 0 0 0 
3.68687 1.67621 -1.84372 0 0 1.11789 1.59529e-10 1.62222e-12 1500 200 -2.27213e+06 0 0 0 0 0 0 0 0 0 0 
3.78788 1.65325 -1.86668 0 0 1.14085 3.8775e-10 6.67419e-13 1500 200 -2.27396e+06 0 0 0 0 0 0 0 0 0 0 
3.88889 1.63027 -1.88966 0 0 1.16383 9.43133e-10 2.74396e-13 1500 200 -2.27578e+06 0 0 0 0 0 0 0 0 0 0 
3.9899 1.60727 -1.91266 0 0 1.18683 2.29564e-09 1.12732e-13 1500 200 -2.27761e+06 0 0 0 0 0 0 0 0 0 0 
4.09091 1.58426 -1.93567 0 0 1.20984 5.59172e-09 4.62812e-14 1500 200 -2.27944e+06 0 0 0 0 0 0 0 0 0 0 
4.19192 1.56122 -1.95871 0 0 1.23288 1.363e-08 1.89869e-14 1500 200 -2.28126e+06 0 0 0 0 0 0 0 0 0 0 
4.29293 1.53817 -1.98176 0 0 1.25593 3.32473e-08 7.78383e-15 1500 200 -2.28309e+06 0 0 0 0 0 0 0 0 0 0 
4.39394 1.5151 -2.00483 0 0 1.279 8.11573e-08 3.18876e-15 1500 200 -2.28491e+06 0 0 0 0 0 0 0 0 0 0 
4.49495 1.49201 -2.02792 0 0 1.30209 1.98248e-07 1.3054e-15 1500 200 -2.28674e+06 0 0 0 0 0 0 0 0 0 0 
4.59596 1.4689 -2.05103 0 0 1.3252 4.84617e-07 5.34013e-16 1500 200 -2.28857e+06 0 0 0 0 0 0 0 0 0 0 
4.69697 1.44578 -2.07415 0 0 1.34832 1.18549e-06 2.18299e-16 1500 200 -2.29039e+06 0 0 0 0 0 0 0 0 0 0 
4.79798 1.42263 -2.0973 0 0 1.37147 2.90207e-06 8.91747e-17 1500 200 -2.29222e+06 0 0 0 0 0 0 0 0 0 0 
4.89899 1.39947 -2.12046 0 0 1.39463 7.10933e-06 3.64017e-17 1500 200 -2.29404e+06 0 0 0 0 0 0 0 0 0 0 
5 1.37629 -2.14364 0 0 1.41781 1.74284e-05 1.48488e-17 1500 200 -2.29496e+06 0 0 0 0 0 0 0 0 0 0 
5 1.73405 -2.3727 0 0 1.41781 2.10617e-11 3.63176e-21 1140 144.2 18785.1 0 0 0 0 0 0 0 0 0 0 
5.10263 1.73424 -2.37251 0 0 1.41762 2.09053e-11 3.65894e-21 1140 144.2 18736.8 0 0 0 0 0 0 0 0 0 0 
5.21 1.73444 -2.37231 0 0 1.41742 2.07436e-11 3.68745e-21 1140 144.2 18635.6 0 0 0 0 0 0 0 0 0 0 
5.32233 1.73465 -2.3721 0 0 1.41721 2.05768e-11 3.71734e-21 1140 144.2 18529.9 0 0 0 0 0 0 0 0 0 0 
5.43984 1.73487 -2.37188 0 0 1.41699 2.04047e-11 3.74869e-21 1140 144.2 18419.2 0 0 0 0 0 0 0 0 0 0 
5.56279 1.7351 -2.37166 0 0 1.41677 2.02273e-11 3.78157e-21 1140 144.2 18303.4 0 0 0 0 0 0 0 0 0 0 
5.69141 1.73533 -2.37142 0 0 1.41653 2.00446e-11 3.81605e-21 1140 144.2 18182.3 0 0 0 0 0 0 0 0 0 0 
5.82597 1.73557 -2.37118 0 0 1.41629 1.98564e-11 3.85221e-21 1140 144.2 18055.6 0 0 0 0 0 0 0 0 0 0 
5.96675 1.73583 -2.37093 0 0 1.41603 1.96629e-11 3.89013e-21 1140 144.2 17923 0 0 0 0 0 0 0 0 0 0 
6.11402 1.73609 -2.37066 0 0 1.41577 1.94639e-11 3.9299e-21 1140 144.2 17784.4 0 0 0 0 0 0 0 0 0 0 
6.2681 1.73636 -2.37039 0 0 1.4155 1.92595e-11 3.9716e-21 1140 144.2 17639.3 0 0 0 0 0 0 0 0 0 0 
6.4293 1.73665 -2.37011 0 0 1.41522 1.90497e-11 4.01534e-21 1140 144.2 17487.5 0 0 0 0 0 0 0 0 0 0 
6.59794 1.73694 -2.36981 0 0 1.41492 1.88346e-11 4.06119e-21 1140 144.2 17328.7 0 0 0 0 0 0 0 0 0 0 
6.77437 1.73724 -2.36951 0 0 1.41462 1.86143e-11 4.10927e-21 1140 144.2 17162.5 0 0 0 0 0 0 0 0 0 0 
6.95894 1.73756 -2.3692 0 0 1.4143 1.83887e-11 4.15968e-21 1140 144.2 16988.7 0 0 0 0 0 0 0 0 0 0 
7.15204 1.73789 -2.36887 0 0 1.41398 1.81581e-11 4.21251e-21 1140 144.2 16806.9 0 0 0 0 0 0 0 0 0 0 
7.35406 1.73822 -2.36853 0 0 1.41364 1.79225e-11 4.26789e-21 1140 144.2 16616.6 0 0 0 0 0 0 0 0 0 0 
7.56541 1.73857 -2.36818 0 0 1.41329 1.76821e-11 4.32591e-21 1140 144.2 16417.6 0 0 0 0 0 0 0 0 0 0 
7.78652 1.73893 -2.36782 0 0 1.41293 1.74371e-11 4.38669e-21 1140 144.2 16209.4 0 0 0 0 0 0 0 0 0 0 
8.01784 1.73931 -2.36745 0 0 1.41256 1.71877e-11 4.45034e-21 1140 144.2 15991.6 0 0 0 0 0 0 0 0 0 0 
8.25984 1.73969 -2.36707 0 0 1.41217 1.69341e-11 4.51698e-21 1140 144.2 15763.7 0 0 0 0 0 0 0 0 0 0 
8.51303 1.74009 -2.36667 0 0 1.41178 1.66766e-11 4.58672e-21 1140 144.2 15525.3 0 0 0 0 0 0 0 0 0 0 
8.7779 1.74049 -2.36626 0 0 1.41137 1.64156e-11 4.65967e-21 1140 144.2 15275.9 0 0 0 0 0 0 0 0 0 0 
9.05501 1.74091 -2.36584 0 0 1.41095 1.61512e-11 4.73593e-21 1140 144.2 15014.9 0 0 0 0 0 0 0 0 0 0 
9.34491 1.74134 -2.36541 0 0 1.41052 1.5884e-11 4.81561e-21 1140 144.2 14741.9 0 0 0 0 0 0 0 0 0 0 
9.6482 1.74179 -2.36497 0 0 1.41007 1.56142e-11 4.8988e-21 1140 144.2 14456.3 0 0 0 0 0 0 0 0 0 0 
9.9655 1.74224 -2.36451 0 0 1.40962 1.53424e-11 4.98559e-21 1140 144.2 14157.5 0 0 0 0 0 0 0 0 0 0 
10.2975 1.74271 -2.36405 0 0 1.40916 1.50691e-11 5.07603e-21 1140 144.2 13844.9 0 0 0 0 0 0 0 0 0 0 
10.6447 1.74318 -2.36357 0 0 1.40868 1.47947e-11 5.17018e-21 1140 144.2 13517.9 0 0 0 0 0 0 0 0 0 0 
